Id,Road_Type,Property_Shape,House_Type,House_Condition,Construction_Year,Remodel_Year,BsmtFinSF1,Total_Basement_Area,Air_Conditioning,First_Floor_Area,Second_Floor_Area,LowQualFinSF,Underground_Full_Bathroom,Full_Bathroom_Above_Grade,Bedroom_Above_Grade,Kitchen_Quality,Rooms_Above_Grade,Fireplaces,Garage,Garage_Built_Year,Garage_Area,Pool_Area,Miscellaneous_Value,Year_Sold,Sale_Price
1,Paved,Reg,1Fam,5,2003,2003,706,856,Y,856,854,0,1,2,3,Gd,8,0,Attchd,2003,1085.793744,0,0,2008,208500
2,Paved,Reg,1Fam,8,1976,1976,978,1262,Y,1262,0,0,0,2,3,TA,6,1,Attchd,1976,196.3163044,0,0,2007,181500
3,Paved,IR1,1Fam,5,2001,2002,486,920,Y,920,866,0,1,2,3,Gd,6,1,Attchd,2001,218.0684028,0,0,2008,223500
4,Paved,IR1,1Fam,5,1915,1970,216,756,Y,961,756,0,1,1,3,Gd,7,1,Detchd,1998,696.9964389,0,0,2006,140000
5,Paved,IR1,1Fam,5,2000,2000,655,1145,Y,1145,1053,0,1,2,4,Gd,9,1,Attchd,2000,568.8598818,0,0,2008,250000
6,Paved,IR1,1Fam,5,1993,1995,732,796,Y,796,566,0,1,1,1,TA,5,0,Attchd,1993,703.4813592,0,700,2009,143000
7,Paved,Reg,1Fam,5,2004,2005,1369,1686,Y,1694,0,0,1,2,3,Gd,7,1,Attchd,2004,555.4156939,0,0,2007,307000
8,Paved,IR1,1Fam,6,1973,1973,859,1107,Y,1107,983,0,1,2,3,TA,7,2,Attchd,1973,737.6329931,0,350,2009,200000
9,Paved,Reg,1Fam,5,1931,1950,0,952,Y,1022,752,0,0,2,2,TA,8,2,Detchd,1931,424.620043,0,0,2008,129900
10,Paved,Reg,2fmCon,6,1939,1950,851,991,Y,1077,0,0,1,1,2,TA,5,2,Attchd,1939,632.5392395,0,0,2008,118000
11,Paved,Reg,1Fam,5,1965,1965,906,1040,Y,1040,0,0,1,1,3,TA,5,0,Detchd,1965,724.5098818,0,0,2008,129500
12,Paved,IR1,1Fam,5,2005,2006,998,1175,Y,1182,1142,0,1,3,4,Ex,11,2,BuiltIn,2005,1004.528225,0,0,2006,345000
13,Paved,IR2,1Fam,6,1962,1962,737,912,Y,912,0,0,1,1,2,TA,4,0,Detchd,1962,450.8901766,0,0,2008,144000
14,Paved,IR1,1Fam,5,2006,2007,0,1494,Y,1494,0,0,0,2,3,Gd,7,1,Attchd,2006,520.9097291,0,0,2007,279500
15,Paved,IR1,1Fam,5,1960,1960,733,1253,Y,1253,0,0,1,1,2,TA,5,1,Attchd,1960,690.0047063,0,0,2008,157000
16,Paved,Reg,1Fam,8,1929,2001,0,832,Y,854,0,0,0,1,2,TA,5,0,Detchd,1991,620.1432453,0,0,2007,132000
17,Paved,IR1,1Fam,7,1970,1970,578,1004,Y,1004,0,0,1,1,2,TA,5,1,Attchd,1970,506.3335746,0,700,2010,149000
18,Paved,Reg,Duplex,5,1967,1967,0,0,Y,1296,0,0,0,2,2,TA,6,0,CarPort,1967,200.2038871,0,500,2006,90000
19,Paved,Reg,1Fam,5,2004,2004,646,1114,Y,1114,0,0,1,1,3,Gd,6,0,Detchd,2004,425.8254,0,0,2008,159000
20,Paved,Reg,1Fam,6,1958,1965,504,1029,Y,1339,0,0,0,1,3,TA,6,0,Attchd,1958,371.1621603,0,0,2009,139000
21,Paved,IR1,1Fam,5,2005,2006,0,1158,Y,1158,1218,0,0,3,4,Gd,9,1,BuiltIn,2005,310.4539721,0,0,2006,325300
22,Paved,Reg,1Fam,7,1930,1950,0,637,Y,1108,0,0,0,1,3,Gd,6,1,Attchd,1930,424.2486405,0,0,2007,139400
23,Paved,Reg,1Fam,5,2002,2002,0,1777,Y,1795,0,0,0,2,3,Gd,7,1,Attchd,2002,360.7832092,0,0,2008,230000
24,Paved,Reg,TwnhsE,7,1976,1976,840,1040,Y,1060,0,0,1,1,3,TA,6,1,Attchd,1976,335.7672535,0,0,2007,129900
25,Paved,IR1,1Fam,8,1968,2001,188,1060,Y,1060,0,0,1,1,3,Gd,6,1,Attchd,1968,603.2175387,0,0,2010,154000
26,Paved,Reg,1Fam,5,2007,2007,0,1566,Y,1600,0,0,0,2,3,Gd,7,1,Attchd,2007,750.8693367,0,0,2009,256300
27,Paved,Reg,1Fam,7,1951,2000,234,900,Y,900,0,0,0,1,3,Gd,5,0,Detchd,2005,685.3301992,0,0,2010,134800
28,Paved,Reg,1Fam,5,2007,2008,1218,1704,Y,1704,0,0,1,2,3,Gd,7,1,Attchd,2008,568.5644761,0,0,2010,306000
29,Paved,IR1,1Fam,6,1957,1997,1277,1484,Y,1600,0,0,1,1,2,TA,6,2,Attchd,1957,804.6433059,0,0,2006,207500
